Name,Latitude,Longitude
Dallas,32.7767,-96.797
Atlanta,33.749,-84.388
New York,40.7128,-74.006
Chicago,41.8781,-87.6298
Denver,39.7392,-104.9903
Phoenix,33.4484,-112.074
Los Angeles,34.0522,-118.2437
Seattle,47.6062,-122.3321
