Name,Latitude,Longitude
Washington,38.9072,-77.0369
Boston,42.3601,-71.0589
Philadelphia,39.9526,-75.1652
Pittsburgh,40.4406,-79.9959
Albany,42.6526,-73.7562
Buffalo,42.8864,-78.8784
Syracuse,43.0481,-76.1474
Portland,43.6591,-70.2568
Hartford,41.7658,-72.6734
Burlington,44.4759,-73.2121
Concord,43.2081,-71.5376
Bangor,44.8016,-68.7712
Atlantic City,39.3643,-74.4229
Baltimore,39.2904,-76.6122
Harrisburg,40.2732,-76.8867
